,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
322,Robbie Chosen,MIA,30,WR,9,0,6,4,126,31.5,1,3,66.7,68,0.4,14.0,66.7%,21.0,,,0,0,,,,,,4,31.5,126,1,,AndeRo04
323,Malik Heath,GNB,23,WR,13,1,24,15,125,8.3,1,6,41.7,16,1.2,9.6,62.5%,5.2,,,0,0,,,,,,15,8.3,125,1,,HeatMa00
324,Kyle Juszczyk*+,SFO,32,FB,17,16,17,14,119,8.5,2,8,82.4,22,0.8,7.0,82.4%,7.0,5,6,0,2,60.0,3,1.2,0.4,0.3,19,6.6,125,2,,JuszKy00
325,Ihmir Smith-Marsette,CAR,24,WR,17,0,10,8,51,6.4,0,5,50.0,18,0.5,3.0,80.0%,5.1,8,74,1,4,75.0,20,9.3,4.4,0.5,16,7.8,125,1,2,SmitIh00
326,Stephen Sullivan,CAR,27,TE,11,0,24,12,125,10.4,0,5,37.5,20,1.1,11.4,50.0%,5.2,,,0,0,,,,,,12,10.4,125,0,,SullSt00
327,Taylor Heinicke,ATL,30,QB,5,4,,,,,0,0,,,,,,,15,124,1,5,53.3,24,8.3,24.8,3.0,15,8.3,124,1,1,HeinTa00
328,Kevin Harris,NWE,23,RB,4,0,3,3,58,19.3,0,2,66.7,48,0.8,14.5,100.0%,19.3,16,65,1,2,50.0,18,4.1,16.3,4.0,19,6.5,123,1,,HarrKe01
329,River Cracraft,MIA,29,WR,10,1,12,9,121,13.4,1,8,66.7,24,0.9,12.1,75.0%,10.1,,,0,0,,,,,,9,13.4,121,1,,CracRi00
330,Tyler Goodson,IND,23,RB,6,1,9,6,34,5.7,0,1,55.6,15,1.0,5.7,66.7%,3.8,13,87,0,4,46.2,31,6.7,14.5,2.2,19,6.4,121,0,,GoodTy00
331,Jake Browning,CIN,27,QB,9,7,1,1,-7,-7.0,0,0,0.0,-7,0.1,-0.8,100.0%,-7.0,27,127,3,12,63.0,21,4.7,14.1,3.0,28,4.3,120,3,3,BrowJa08
332,Cole Turner,WAS,23,TE,12,1,15,11,120,10.9,0,4,60.0,29,0.9,10.0,73.3%,8.0,,,0,0,,,,,,11,10.9,120,0,,TurnCo00
333,Alec Ingold*,MIA,27,FB,17,13,16,13,119,9.2,0,5,62.5,23,0.8,7.0,81.3%,7.4,2,0,0,0,0.0,0,0.0,0.0,0.1,15,7.9,119,0,,IngoAl01
334,Andrei Iosivas,CIN,24,WR,16,1,25,15,116,7.7,4,11,60.0,16,0.9,7.3,60.0%,4.6,,,0,0,,,,,,15,7.7,116,4,,IosiAn00
335,Lynn Bowden Jr.,NOR,26,WR,15,3,16,11,83,7.5,0,2,37.5,17,0.7,5.5,68.8%,5.2,5,32,0,3,60.0,29,6.4,2.1,0.3,16,7.2,115,0,1,BowdLy00
336,Laviska Shenault Jr.,CAR,25,WR,8,0,10,10,60,6.0,0,2,30.0,14,1.3,7.5,100.0%,6.0,12,55,0,3,50.0,11,4.6,6.9,1.5,22,5.2,115,0,1,ShenLa00
337,Irv Smith Jr.,CIN,25,TE,12,6,26,18,115,6.4,1,5,38.5,14,1.5,9.6,69.2%,4.4,,,0,0,,,,,,18,6.4,115,1,1,SmitIr01
338,Richie James,KAN,28,WR,9,1,14,10,114,11.4,0,5,57.1,45,1.1,12.7,71.4%,8.1,,,0,0,,,,,,10,11.4,114,0,2,JameRi00
339,Israel Abanikanda,NYJ,21,RB,6,0,11,7,43,6.1,0,2,36.4,13,1.2,7.2,63.6%,3.9,22,70,0,3,36.4,12,3.2,11.7,3.7,29,3.9,113,0,1,AbanIs00
340,Robert Tonyan,CHI,29,TE,17,6,17,11,112,10.2,0,6,47.1,24,0.6,6.6,64.7%,6.6,,,0,0,,,,,,11,10.2,112,0,,TonyRo00
341,Damien Harris,BUF,26,RB,6,0,2,2,16,8.0,0,0,0.0,13,0.3,2.7,100.0%,8.0,23,94,1,9,65.2,11,4.1,15.7,3.8,25,4.4,110,1,,HarrDa06
342,La'Mical Perine,KAN,25,RB,3,1,5,3,33,11.0,0,1,20.0,25,1.0,11.0,60.0%,6.6,22,77,0,3,40.9,10,3.5,25.7,7.3,25,4.4,110,0,,PeriLa00
343,MyCole Pruitt,ATL,31,TE,17,8,12,9,110,12.2,1,6,66.7,22,0.5,6.5,75.0%,9.2,,,0,0,,,,,,9,12.2,110,1,1,PruiMy00
344,Tyson Bagent,CHI,23,QB,5,4,,,,,0,0,,,,,,,23,109,2,11,56.5,20,4.7,21.8,4.6,23,4.7,109,2,3,BageTy00
345,Emanuel Wilson,GNB,24,RB,7,0,5,4,23,5.8,0,1,80.0,9,0.6,3.3,80.0%,4.6,14,85,0,2,64.3,31,6.1,12.1,2.0,18,6.0,108,0,1,WilsEm00
346,Chris Brooks,MIA,23,RB,9,0,,,,,0,0,,,,,,,19,106,0,2,31.6,52,5.6,11.8,2.1,19,5.6,106,0,,BrooCh00
347,Parris Campbell,NYG,26,WR,12,3,27,20,104,5.2,0,2,37.0,17,1.7,8.7,74.1%,3.9,,,0,0,,,,,,20,5.2,104,0,,CampPa00
348,Marquise Goodwin,CLE,33,WR,12,0,13,4,67,16.8,0,1,7.7,57,0.3,5.6,30.8%,5.2,4,33,0,2,50.0,20,8.3,2.8,0.3,8,12.5,100,0,,GoodMa00
349,Keaontay Ingram,ARI,24,RB,8,1,4,4,26,6.5,0,1,50.0,9,0.5,3.3,100.0%,6.5,35,74,0,4,20.0,14,2.1,9.3,4.4,39,2.6,100,0,,IngrKe01
350,Gardner Minshew II*,IND,27,QB,17,13,,,,,0,0,,,,,,,34,100,3,7,29.4,23,2.9,5.9,2.0,34,2.9,100,3,8,MinsGa00
351,Mac Jones,NWE,25,QB,11,11,,,,,0,0,,,,,,,26,96,0,11,57.7,18,3.7,8.7,2.4,26,3.7,96,0,3,JoneMa05
352,Isaiah McKenzie,IND,28,WR,13,2,14,11,82,7.5,0,4,35.7,30,0.8,6.3,78.6%,5.9,3,14,0,0,33.3,7,4.7,1.1,0.2,14,6.9,96,0,3,McKeIs00
353,Davis Allen,LAR,22,TE,15,1,11,10,95,9.5,1,7,81.8,21,0.7,6.3,90.9%,8.6,,,0,0,,,,,,10,9.5,95,1,,AlleDa02
354,Lucas Krull,DEN,25,TE,7,2,14,8,95,11.9,1,5,42.9,35,1.1,13.6,57.1%,6.8,,,0,0,,,,,,8,11.9,95,1,,KrulLu00
355,David Moore,TAM,28,WR,7,0,7,5,94,18.8,1,3,71.4,52,0.7,13.4,71.4%,13.4,,,0,0,,,,,,5,18.8,94,1,,MoorDa03
356,Geoff Swaim,ARI,30,TE,14,8,11,10,94,9.4,0,4,72.7,26,0.7,6.7,90.9%,8.5,,,0,0,,,,,,10,9.4,94,0,,SwaiGe00
357,Josh Whyle,TEN,24,TE,11,3,15,9,94,10.4,1,8,60.0,24,0.8,8.5,60.0%,6.3,,,0,0,,,,,,9,10.4,94,1,,WhylJo01
358,Raheem Blackshear,CAR,24,RB,12,0,7,6,45,7.5,0,1,71.4,19,0.5,3.8,85.7%,6.4,14,46,0,1,35.7,9,3.3,3.8,1.2,20,4.6,91,0,,BlacRa00
359,Brock Wright,DET,25,TE,14,4,14,13,91,7.0,1,2,64.3,25,0.9,6.5,92.9%,6.5,,,0,0,,,,,,13,7.0,91,1,,WrigBr01
360,Harrison Bryant,CLE,25,TE,17,9,20,13,81,6.2,3,4,50.0,23,0.8,4.8,65.0%,4.1,5,8,0,4,80.0,2,1.6,0.5,0.3,18,4.9,89,3,1,BryaHa00
361,Jalen Guyton,LAC,26,WR,8,3,21,10,89,8.9,1,6,38.1,18,1.3,11.1,47.6%,4.2,,,0,0,,,,,,10,8.9,89,1,,GuytJa01
362,Joe Burrow,CIN,27,QB,10,10,,,,,0,0,,,,,,,31,88,0,9,38.7,20,2.8,8.8,3.1,31,2.8,88,0,2,BurrJo01
363,Charlie Kolar,BAL,24,TE,15,3,9,7,87,12.4,1,5,77.8,19,0.5,5.8,77.8%,9.7,,,0,0,,,,,,7,12.4,87,1,,KolaCh00
364,Trent Sherfield,BUF,27,WR,17,1,22,11,86,7.8,1,4,40.9,12,0.6,5.1,50.0%,3.9,,,0,0,,,,,,11,7.8,86,1,,SherTr00
365,Tim Jones,JAX,25,WR,17,2,18,11,83,7.5,0,4,38.9,15,0.6,4.9,61.1%,4.6,,,0,0,,,,,,11,7.5,83,0,,JoneTi00
366,Bailey Zappe,NWE,24,QB,10,6,,,,,0,0,,,,,,,17,83,1,6,47.1,18,4.9,8.3,1.7,17,4.9,83,1,2,ZappBa00
367,Deuce Vaughn,DAL,22,RB,7,0,7,7,40,5.7,0,1,42.9,11,1.0,5.7,100.0%,5.7,23,40,0,1,8.7,13,1.7,5.7,3.3,30,2.7,80,0,,VaugDe00
368,Trayveon Williams,CIN,26,RB,17,0,9,7,10,1.4,0,0,11.1,5,0.4,0.6,77.8%,1.1,15,69,0,2,33.3,15,4.6,4.1,0.9,22,3.6,79,0,,WillTr06
369,Brycen Hopkins,LAR,26,TE,15,0,7,5,78,15.6,0,3,57.1,29,0.3,5.2,71.4%,11.1,,,0,0,,,,,,5,15.6,78,0,,HopkBr01
370,Samori Toure,GNB,25,WR,11,0,18,8,78,9.8,0,4,27.8,35,0.7,7.1,44.4%,4.3,,,0,0,,,,,,8,9.8,78,0,1,TourSa00
371,Chase Claypool,2TM,25,,12,2,21,8,77,9.6,1,4,23.8,20,0.7,6.4,38.1%,3.7,,,0,0,,,,,,8,9.6,77,1,,ClayCh01
372,Charlie Jones,CIN,25,WR,11,0,9,7,64,9.1,0,3,44.4,35,0.6,5.8,77.8%,7.1,2,13,0,1,100.0,7,6.5,1.2,0.2,9,8.6,77,0,,JoneCh11
373,Ben Skowronek,LAR,26,WR,17,0,12,8,66,8.3,1,3,41.7,20,0.5,3.9,66.7%,5.5,2,9,0,1,50.0,11,4.5,0.5,0.1,10,7.5,75,1,,SkowBe00
374,Julio Jones,PHI,34,WR,11,4,19,11,74,6.7,3,4,31.6,22,1.0,6.7,57.9%,3.9,,,0,0,,,,,,11,6.7,74,3,,JoneJu02
375,Tua Tagovailoa*,MIA,25,QB,17,17,,,,,0,0,,,,,,,35,74,0,5,20.0,9,2.1,4.4,2.1,35,2.1,74,0,13,TagoTu00
376,Ryan Tannehill,TEN,35,QB,10,8,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,17,74,1,4,35.3,23,4.4,7.4,1.7,17,4.4,74,1,4,TannRy00
377,Velus Jones Jr.,CHI,26,WR,14,0,7,4,20,5.0,0,1,42.9,11,0.3,1.4,57.1%,2.9,8,51,0,4,62.5,17,6.4,3.6,0.6,12,5.9,71,0,,JoneVe00
378,Eric Gray,NYG,24,RB,13,0,7,6,22,3.7,0,0,0.0,9,0.5,1.7,85.7%,3.1,17,48,0,2,35.3,12,2.8,3.7,1.3,23,3.0,70,0,3,GrayEr01
379,Chris Conley,SFO,31,WR,8,0,6,3,69,23.0,0,2,33.3,48,0.4,8.6,50.0%,11.5,,,0,0,,,,,,3,23.0,69,0,,ConlCh00
380,Ronnie Bell,SFO,23,WR,17,0,13,6,68,11.3,3,5,46.2,20,0.4,4.0,46.2%,5.2,,,0,0,,,,,,6,11.3,68,3,1,BellRo01
381,Gary Brightwell,NYG,24,RB,7,0,7,5,47,9.4,0,2,42.9,18,0.7,6.7,71.4%,6.7,9,19,0,0,22.2,5,2.1,2.7,1.3,14,4.7,66,0,,BrigGa00
382,Josiah Deguara,GNB,26,TE,15,4,8,8,65,8.1,0,3,75.0,19,0.5,4.3,100.0%,8.1,,,0,0,,,,,,8,8.1,65,0,,DeguJo00
383,Luke Schoonmaker,DAL,25,TE,17,0,15,8,65,8.1,2,5,40.0,18,0.5,3.8,53.3%,4.3,,,0,0,,,,,,8,8.1,65,2,,SchoLu00
384,Matthew Stafford*,LAR,35,QB,15,15,,,,,0,0,,,,,,,21,65,0,4,33.3,9,3.1,4.3,1.4,21,3.1,65,0,,StafMa00
385,Dorian Thompson-Robinson,CLE,24,QB,8,3,,,,,0,0,,,,,,,14,65,0,4,35.7,12,4.6,8.1,1.8,14,4.6,65,0,2,ThomDo02
386,Jalen Brooks,DAL,23,WR,7,0,6,6,64,10.7,0,4,83.3,24,0.9,9.1,100.0%,10.7,,,0,0,,,,,,6,10.7,64,0,,BrooJa03
387,Mike Boone,HOU,28,RB,9,0,9,7,40,5.7,0,2,44.4,12,0.8,4.4,77.8%,4.4,5,23,0,2,60.0,11,4.6,2.6,0.6,12,5.3,63,0,1,BoonMi00
388,Sterling Shepard,NYG,30,WR,15,2,22,10,57,5.7,1,4,22.7,13,0.7,3.8,45.5%,2.6,1,6,0,0,100.0,6,6.0,0.4,0.1,11,5.7,63,1,1,ShepSt00
389,DeeJay Dallas,SEA,25,RB,17,0,9,6,26,4.3,0,1,11.1,14,0.4,1.5,66.7%,2.9,10,36,0,2,70.0,8,3.6,2.1,0.6,16,3.9,62,0,2,DallDe00
390,Equanimeous St. Brown,CHI,27,WR,7,2,6,5,62,12.4,0,3,83.3,21,0.7,8.9,83.3%,10.3,,,0,0,,,,,,5,12.4,62,0,,St.BEq00
391,Darnell Washington,PIT,22,TE,17,7,10,7,61,8.7,0,4,60.0,12,0.4,3.6,70.0%,6.1,,,0,0,,,,,,7,8.7,61,0,,WashDa03
392,Rakim Jarrett,TAM,22,WR,10,0,9,4,60,15.0,0,1,33.3,41,0.4,6.0,44.4%,6.7,1,0,0,0,0.0,0,0.0,0.0,0.1,5,12.0,60,0,,JarrRa00
393,Andrew Beck,HOU,27,FB,15,12,13,11,55,5.0,2,4,53.8,26,0.7,3.7,84.6%,4.2,5,3,1,2,40.0,2,0.6,0.2,0.3,16,3.6,58,3,1,BeckAn01
394,Payne Durham,TAM,23,TE,13,2,7,5,58,11.6,0,3,71.4,25,0.4,4.5,71.4%,8.3,,,0,0,,,,,,5,11.6,58,0,,DurhPa00
395,C.J. Uzomah,NYJ,30,TE,12,8,12,8,58,7.3,1,5,58.3,19,0.7,4.8,66.7%,4.8,,,0,0,,,,,,8,7.3,58,1,,UzomC.00
396,DeAndre Carter,LVR,30,WR,17,1,7,4,39,9.8,0,0,28.6,16,0.2,2.3,57.1%,5.6,3,18,0,2,66.7,15,6.0,1.1,0.2,7,8.1,57,0,2,CartDe02
397,Will Levis,TEN,24,QB,9,9,,,,,0,0,,,,,,,25,57,1,7,36.0,11,2.3,6.3,2.8,25,2.3,57,1,7,LeviWi00
398,Jason Brownlee,NYJ,24,WR,7,5,8,5,56,11.2,1,2,50.0,24,0.7,8.0,62.5%,7.0,,,0,0,,,,,,5,11.2,56,1,,BrowJa07
399,D.J. Montgomery,IND,27,WR,7,0,8,3,56,18.7,1,3,37.5,34,0.4,8.0,37.5%,7.0,,,0,0,,,,,,3,18.7,56,1,,MontDJ01
400,Ian Thomas,CAR,27,TE,12,5,9,5,56,11.2,0,1,33.3,28,0.4,4.7,55.6%,6.2,,,0,0,,,,,,5,11.2,56,0,,ThomIa00
401,Carson Wentz,LAR,31,QB,2,1,,,,,0,0,,,,,,,17,56,1,4,58.8,12,3.3,28.0,8.5,17,3.3,56,1,,WentCa00
402,Mitchell Wilcox,CIN,27,TE,17,4,12,9,56,6.2,0,2,50.0,12,0.5,3.3,75.0%,4.7,,,0,0,,,,,,9,6.2,56,0,,WilcMi01
403,Tyler Huntley,BAL,25,QB,5,1,,,,,0,0,,,,,,,15,55,0,3,40.0,11,3.7,11.0,3.0,15,3.7,55,0,,HuntTy01
404,Damien Williams,ARI,31,RB,3,0,2,2,12,6.0,0,0,50.0,8,0.7,4.0,100.0%,6.0,11,43,0,1,54.5,9,3.9,14.3,3.7,13,4.2,55,0,,WillDa05
405,Kenny Pickett,PIT,25,QB,12,12,,,,,0,0,,,,,,,42,54,1,12,38.1,11,1.3,4.5,3.5,42,1.3,54,1,2,PickKe00
406,Mitchell Trubisky,PIT,29,QB,5,2,,,,,0,0,,,,,,,16,54,2,6,50.0,15,3.4,10.8,3.2,16,3.4,54,2,1,TrubMi00
407,Dare Ogunbowale,HOU,29,RB,12,0,7,2,18,9.0,0,0,0.0,14,0.2,1.5,28.6%,2.6,8,35,0,2,37.5,17,4.4,2.9,0.7,10,5.3,53,0,,OgunDa00
408,Justyn Ross,KAN,24,WR,10,1,11,6,53,8.8,0,2,45.5,20,0.6,5.3,54.5%,4.8,,,0,0,,,,,,6,8.8,53,0,,RossJu00
409,Marcus Mariota,PHI,30,QB,3,0,,,,,0,0,,,,,,,8,52,0,6,87.5,17,6.5,17.3,2.7,8,6.5,52,0,1,MariMa01
410,Patrick Ricard,BAL,29,FB,17,9,7,5,52,10.4,1,3,42.9,28,0.3,3.1,71.4%,7.4,,,0,0,,,,,,5,10.4,52,1,,RicaPa00
411,Ty Montgomery,NWE,30,WR,13,0,12,5,40,8.0,0,3,33.3,17,0.4,3.1,41.7%,3.3,3,9,0,0,33.3,7,3.0,0.7,0.2,8,6.1,49,0,,MontTy01
412,Julian Hill,MIA,23,TE,15,4,9,6,48,8.0,0,2,55.6,18,0.4,3.2,66.7%,5.3,,,0,0,,,,,,6,8.0,48,0,1,HillJu02
413,Blaine Gabbert,KAN,34,QB,2,1,,,,,0,0,,,,,,,7,45,0,2,42.9,25,6.4,22.5,3.5,7,6.4,45,0,,GabbBl00
414,Mike Strachan,CAR,26,WR,4,1,3,1,45,45.0,0,1,33.3,45,0.3,11.3,33.3%,15.0,,,0,0,,,,,,1,45.0,45,0,,StraMi03
415,Ke'Shawn Vaughn,TAM,26,RB,6,0,5,2,2,1.0,0,0,0.0,3,0.3,0.3,40.0%,0.4,24,42,0,0,20.8,9,1.8,7.0,4.0,26,1.7,44,0,,VaugKe00
416,Britain Covey,PHI,26,WR,16,0,6,4,42,10.5,0,2,66.7,22,0.3,2.6,66.7%,7.0,,,0,0,,,,,,4,10.5,42,0,2,CoveBr00
417,Derek Carr,NOR,32,QB,17,17,,,,,0,0,,,,,,,32,40,0,4,25.0,10,1.3,2.4,1.9,32,1.3,40,0,7,CarrDe02
418,Leonard Fournette,BUF,28,RB,2,0,,,,,0,0,,,,,,,12,40,0,2,41.7,9,3.3,20.0,6.0,12,3.3,40,0,,FourLe00
419,Trevor Siemian,NYJ,32,QB,5,3,,,,,0,0,,,,,,,11,40,0,5,54.5,13,3.6,8.0,2.2,11,3.6,40,0,5,SiemTr00
420,Grant Calcaterra,PHI,25,TE,15,1,4,4,39,9.8,0,3,100.0,12,0.3,2.6,100.0%,9.8,,,0,0,,,,,,4,9.8,39,0,,CalcGr00
421,Randall Cobb,NYJ,33,WR,11,1,17,5,39,7.8,1,3,17.6,15,0.5,3.5,29.4%,2.3,,,0,0,,,,,,5,7.8,39,1,,CobbRa00
422,Jimmy Garoppolo,LVR,32,QB,7,6,,,,,0,0,,,,,,,20,39,0,6,30.0,9,2.0,5.6,2.9,20,2.0,39,0,1,GaroJi00
423,Jimmy Graham,NOR,37,TE,13,2,7,6,39,6.5,4,6,85.7,12,0.5,3.0,85.7%,5.6,,,0,0,,,,,,6,6.5,39,4,,GrahJi00
424,Elijah Cooks,JAX,25,WR,9,0,4,3,38,12.7,0,2,50.0,23,0.3,4.2,75.0%,9.5,,,0,0,,,,,,3,12.7,38,0,,CookEl00
425,Peyton Hendershot,DAL,24,TE,8,1,7,4,38,9.5,0,1,42.9,24,0.5,4.8,57.1%,5.4,1,0,0,0,0.0,0,0.0,0.0,0.1,5,7.6,38,0,,HendPe01
426,Rashaad Penny,PHI,27,RB,3,0,1,1,5,5.0,0,0,100.0,5,0.3,1.7,100.0%,5.0,11,33,0,1,45.5,7,3.0,11.0,3.7,12,3.2,38,0,,PennRa00
427,Jack Stoll,PHI,25,TE,17,10,8,5,38,7.6,0,2,50.0,14,0.3,2.2,62.5%,4.8,,,0,0,,,,,,5,7.6,38,0,,StolJa00
428,J.K. Dobbins,BAL,25,RB,1,1,3,2,15,7.5,0,0,66.7,10,2.0,15.0,66.7%,5.0,8,22,1,1,50.0,4,2.8,22.0,8.0,10,3.7,37,1,,DobbJK00
429,Keith Kirkwood,NOR,29,WR,13,4,9,5,37,7.4,1,3,44.4,13,0.4,2.8,55.6%,4.1,,,0,0,,,,,,5,7.4,37,1,,KirkKe00
430,Hunter Luepke,DAL,23,RB,17,0,4,3,18,6.0,0,1,50.0,12,0.2,1.1,75.0%,4.5,6,19,1,5,83.3,9,3.2,1.1,0.4,9,4.1,37,1,,LuepHu00
431,Lawrence Cager,NYG,26,TE,11,0,5,4,36,9.0,1,2,60.0,10,0.4,3.3,80.0%,7.2,,,0,0,,,,,,4,9.0,36,1,,CageLa01
432,C.J. Beathard,JAX,30,QB,7,1,,,,,0,0,,,,,,,8,35,0,2,37.5,19,4.4,5.0,1.1,8,4.4,35,0,1,BeatC.00
433,Marvin Jones,DET,33,WR,6,4,10,5,35,7.0,0,2,30.0,16,0.8,5.8,50.0%,3.5,,,0,0,,,,,,5,7.0,35,0,1,JoneMa02
434,Brenton Strange,JAX,23,TE,14,4,9,5,35,7.0,1,2,22.2,17,0.4,2.5,55.6%,3.9,,,0,0,,,,,,5,7.0,35,1,,StraBr00
435,Keelan Doss,LAC,27,WR,5,0,13,6,33,5.5,0,1,23.1,9,1.2,6.6,46.2%,2.5,,,0,0,,,,,,6,5.5,33,0,,DossKe00
436,Jeff Driskel,CLE,30,QB,1,1,,,,,0,0,,,,,,,7,33,0,4,71.4,13,4.7,33.0,7.0,7,4.7,33,0,,DrisJe00
437,Devin Duvernay,BAL,26,WR,13,1,9,4,18,4.5,0,0,11.1,10,0.3,1.4,44.4%,2.0,4,15,0,0,50.0,8,3.8,1.2,0.3,8,4.1,33,0,,DuveDe00
438,Teagan Quitoriano,HOU,23,TE,7,5,3,2,33,16.5,0,2,66.7,22,0.3,4.7,66.7%,11.0,,,0,0,,,,,,2,16.5,33,0,,QuitTe00
439,Keith Smith,ATL,31,FB,13,6,3,3,33,11.0,0,1,66.7,28,0.2,2.5,100.0%,11.0,,,0,0,,,,,,3,11.0,33,0,,SmitKe03
440,C.J. Ham*,MIN,30,FB,17,5,9,7,25,3.6,0,1,33.3,7,0.4,1.5,77.8%,2.8,1,7,0,0,100.0,7,7.0,0.4,0.1,8,4.0,32,0,,HamxC.00
441,Sean Tucker,TAM,22,RB,11,0,2,2,9,4.5,0,0,50.0,6,0.2,0.8,100.0%,4.5,15,23,0,1,26.7,7,1.5,2.1,1.4,17,1.9,32,0,,TuckSe00
442,Charlie Woerner,SFO,26,TE,17,2,3,3,32,10.7,0,1,66.7,20,0.2,1.9,100.0%,10.7,,,0,0,,,,,,3,10.7,32,0,,WoerCh00
443,Brandon Bolden,LVR,33,RB,17,0,,,,,0,0,,,,,,,4,31,1,2,50.0,26,7.8,1.8,0.2,4,7.8,31,1,,BoldBr00
444,Khalil Dorsey,DET,25,CB,13,2,1,1,31,31.0,0,1,100.0,31,0.1,2.4,100.0%,31.0,,,0,0,,,,,,1,31.0,31,0,,DorsKh00
445,Kenyan Drake,2TM,29,,3,0,3,2,31,15.5,0,0,66.7,24,0.7,10.3,66.7%,10.3,2,0,0,0,0.0,0,0.0,0.0,0.7,4,7.8,31,0,1,DrakKe00
446,Deon Jackson,3TM,24,,4,1,6,5,14,2.8,0,0,33.3,8,1.3,3.5,83.3%,2.3,14,16,0,1,14.3,7,1.1,4.0,3.5,19,1.6,30,0,2,JackDe02
447,Clayton Tune,ARI,24,QB,7,1,,,,,0,0,,,,,,,8,30,1,3,62.5,11,3.8,4.3,1.1,8,3.8,30,1,2,TuneCl00
448,P.J. Walker,CLE,28,QB,6,2,,,,,0,0,,,,,,,13,30,0,3,46.2,9,2.3,5.0,2.2,13,2.3,30,0,4,WalkPh00
449,Marcedes Lewis,CHI,39,TE,17,4,5,4,29,7.3,1,2,80.0,16,0.2,1.7,80.0%,5.8,,,0,0,,,,,,4,7.3,29,1,,LewiMa00
450,Jalen Nailor,MIN,24,WR,6,1,6,3,29,9.7,0,1,33.3,16,0.5,4.8,50.0%,4.8,,,0,0,,,,,,3,9.7,29,0,,NailJa00
451,Austin Trammell,LAR,25,WR,16,0,7,4,29,7.3,0,2,28.6,14,0.3,1.8,57.1%,4.1,,,0,0,,,,,,4,7.3,29,0,3,TramAu00
452,Khari Blasingame,CHI,27,FB,16,2,6,3,2,0.7,0,0,16.7,4,0.2,0.1,50.0%,0.3,8,26,0,0,25.0,6,3.3,1.6,0.5,11,2.5,28,0,,BlasKh00
453,James Mitchell,DET,24,TE,15,1,2,2,28,14.0,0,1,100.0,24,0.1,1.9,100.0%,14.0,,,0,0,,,,,,2,14.0,28,0,,MitcJa00
454,Kenny Yeboah,NYJ,25,TE,5,1,4,2,28,14.0,0,1,50.0,20,0.4,5.6,50.0%,7.0,,,0,0,,,,,,2,14.0,28,0,,YeboKe00
455,Blake Bell,KAN,32,TE,17,3,9,5,26,5.2,1,1,44.4,8,0.3,1.5,55.6%,2.9,,,0,0,,,,,,5,5.2,26,1,1,BellBl00
456,Derrick Gore,WAS,29,RB,6,0,,,,,0,0,,,,,,,3,26,0,1,33.3,23,8.7,4.3,0.5,3,8.7,26,0,,GoreDe00
457,Quintin Morris,BUF,24,TE,15,0,3,2,26,13.0,1,1,33.3,15,0.1,1.7,66.7%,8.7,,,0,0,,,,,,2,13.0,26,1,,MorrQu00
458,Steven Sims,HOU,26,WR,3,0,3,3,25,8.3,0,1,33.3,23,1.0,8.3,100.0%,8.3,1,1,0,0,0.0,1,1.0,0.3,0.3,4,6.5,26,0,,SimsSt00
459,Nick Bawden,NYJ,27,FB,16,2,3,3,21,7.0,0,1,66.7,8,0.2,1.3,100.0%,7.0,2,4,1,1,50.0,3,2.0,0.3,0.1,5,5.0,25,1,,BawdNi00
460,Kirk Cousins,MIN,35,QB,8,8,,,,,0,0,,,,,,,14,25,0,6,50.0,10,1.8,3.1,1.8,14,1.8,25,0,7,CousKi00
461,Greg Dulcich,DEN,23,TE,2,1,4,3,25,8.3,0,2,50.0,13,1.5,12.5,75.0%,6.3,,,0,0,,,,,,3,8.3,25,0,,DulcGr00
462,Nick Mullens,MIN,28,QB,5,3,,,,,0,0,,,,,,,10,25,0,4,50.0,6,2.5,5.0,2.0,10,2.5,25,0,2,MullNi00
463,Adam Prentice,NOR,26,FB,13,1,3,2,12,6.0,0,0,33.3,7,0.2,0.9,66.7%,4.0,2,12,0,1,100.0,7,6.0,0.9,0.2,4,6.0,24,0,1,PrenAd00
464,Nate Adkins,DEN,24,TE,10,1,5,4,22,5.5,0,1,20.0,11,0.4,2.2,80.0%,4.4,,,0,0,,,,,,4,5.5,22,0,,AdkiNa00
465,Erik Ezukanma,MIA,23,WR,2,0,1,0,0,,0,0,0.0,0,0.0,0.0,0.0%,0.0,5,22,0,1,60.0,12,4.4,11.0,2.5,5,4.4,22,0,,EzukEr00
466,Jake Funk,IND,25,RB,4,0,1,1,12,12.0,0,1,100.0,12,0.3,3.0,100.0%,12.0,2,10,0,0,0.0,7,5.0,2.5,0.5,3,7.3,22,0,,FunkJa00
467,Nick Muse,MIN,25,TE,2,0,1,1,22,22.0,0,1,100.0,22,0.5,11.0,100.0%,22.0,,,0,0,,,,,,1,22.0,22,0,,MuseNi00
